open_time_ms,open,high,low,close,volume
1767225600000,63993.73362933,63997.18786574,63990.27939292,63993.73362933,10.13100247
1767225660000,63993.73362933,64013.32748428,63993.73362933,64008.84102493,13.68526056
1767225720000,64008.84102493,64024.81099864,63996.08656927,64010.44878396,8.03061091
1767225780000,64010.44878396,64031.78330676,64010.44878396,64026.45200842,17.63418154
1767225840000,64026.45200842,64039.88058497,64026.45200842,64034.65420296,7.12358032
1767225900000,64034.65420296,64034.65420296,64001.30884219,64013.42785113,9.69082250
1767225960000,64013.42785113,64021.87175794,64013.42785113,64019.63641849,11.56366956
1767226020000,64019.63641849,64031.26863009,64015.27578499,64023.27220754,13.76232493
1767226080000,64023.27220754,64024.21571346,64018.78310323,64021.49940834,14.45448359
1767226140000,64021.49940834,64021.49940834,64009.20195704,64012.85174857,10.86952100
1767226200000,64012.85174857,64019.68007568,64012.85174857,64017.41588300,10.24677071
1767226260000,64017.41588300,64033.64881046,64017.41588300,64031.90006806,12.60717241
1767226320000,64031.90006806,64034.09155381,64021.09476286,64027.59315834,17.42926839
1767226380000,64027.59315834,64027.59315834,64008.62422110,64010.30894904,15.81507510
1767226440000,64010.30894904,64010.30894904,64004.63090825,64006.52765239,10.51529990
1767226500000,64006.52765239,64006.52765239,63997.76514078,64001.60158865,13.63853822
1767226560000,64001.60158865,64025.37436394,64001.60158865,64019.19745316,16.38838386
1767226620000,64019.19745316,64019.19745316,63997.58822173,64007.78029964,13.33904994
1767226680000,64007.78029964,64011.84014771,63985.91488385,63998.87751578,14.02743589
1767226740000,63998.87751578,63998.87751578,63961.56151161,63976.98366461,9.09932007
1767226800000,63976.98366461,63990.75150169,63976.98366461,63986.09034668,6.40328512
1767226860000,63986.09034668,63986.09034668,63983.21731994,63984.37585233,14.94425454
1767226920000,63984.37585233,63984.37585233,63952.49941819,63955.86708975,16.49443503
1767226980000,63955.86708975,63955.86708975,63940.73047450,63944.48262997,7.82904354
1767227040000,63944.48262997,63964.53279468,63944.48262997,63957.29393256,6.35095284
1767227100000,63957.29393256,63972.11474482,63950.31498612,63961.21486547,12.40023220
1767227160000,63961.21486547,63961.21486547,63933.40597312,63941.56819845,15.45182983
1767227220000,63941.56819845,63941.56819845,63904.51602978,63913.47898665,12.48263275
1767227280000,63913.47898665,63914.71276747,63911.49504061,63913.10390404,10.13258400
1767227340000,63913.10390404,63913.10390404,63898.46463869,63903.53484047,17.11430902
1767227400000,63903.53484047,63917.35996937,63902.65272714,63910.00634826,12.46490724
1767227460000,63910.00634826,63929.48273063,63905.03835868,63917.26054465,9.03716272
1767227520000,63917.26054465,63927.28003155,63917.26054465,63925.58591708,11.19339431
1767227580000,63925.58591708,63926.62062424,63914.87853509,63920.74957967,14.07326613
1767227640000,63920.74957967,63941.52889892,63920.74957967,63931.15086472,9.95288767
1767227700000,63931.15086472,63936.04706815,63926.20501871,63931.12604343,15.11306530
1767227760000,63931.12604343,63944.72330475,63931.12604343,63939.42008671,16.54153971
1767227820000,63939.42008671,63939.42008671,63928.11652374,63931.33462965,13.98991883
1767227880000,63931.33462965,63938.19242805,63910.32242063,63924.25742434,15.13420454
1767227940000,63924.25742434,63925.09670391,63918.88932225,63921.99301308,8.93283137
1767228000000,63921.99301308,63949.22240228,63921.99301308,63938.33230917,15.40796717
1767228060000,63938.33230917,63945.42508525,63923.26235588,63934.34372056,4.82240227
1767228120000,63934.34372056,63934.66245092,63915.62988684,63925.14616888,16.46706113
1767228180000,63925.14616888,63935.63877795,63925.14616888,63931.31610337,8.12406680
1767228240000,63931.31610337,63931.31610337,63899.43667639,63906.20304425,3.66018978
1767228300000,63906.20304425,63907.82361418,63888.91527909,63898.36944664,8.30595072
1767228360000,63898.36944664,63898.36944664,63881.32201951,63884.46474037,20.58021112
1767228420000,63884.46474037,63884.46474037,63865.62522392,63874.52650697,22.87391778
1767228480000,63874.52650697,63875.02595562,63849.81695928,63862.42145745,14.22409451
1767228540000,63862.42145745,63886.61202458,63862.42145745,63883.82756668,14.08226763
1767228600000,63883.82756668,63883.82756668,63871.46191453,63875.59902647,16.82911889
1767228660000,63875.59902647,63900.76601906,63865.07618504,63882.92110205,8.77456070
1767228720000,63882.92110205,63882.92110205,63849.64987970,63852.95834443,11.48974217
1767228780000,63852.95834443,63860.72316511,63831.81612770,63846.26964641,15.64913243
1767228840000,63846.26964641,63846.26964641,63828.04361787,63833.81445911,13.43694960
1767228900000,63833.81445911,63848.55885595,63830.26961316,63839.41423456,5.98736002
1767228960000,63839.41423456,63856.30064051,63832.78064110,63844.54064081,12.68225292
1767229020000,63844.54064081,63850.69373164,63844.54064081,63848.34086124,9.63915380
1767229080000,63848.34086124,63848.34086124,63811.25983955,63821.62635111,17.50956117
1767229140000,63821.62635111,63821.62635111,63807.89962864,63810.60628138,8.42148133
1767229200000,63810.60628138,63834.16080967,63807.22162660,63820.69121814,15.95872310
1767229260000,63820.69121814,63820.69121814,63807.85540126,63811.44363310,10.32304872
1767229320000,63811.44363310,63816.63932118,63805.75168781,63811.19550449,12.90396328
1767229380000,63811.19550449,63811.19550449,63793.30765922,63796.72556500,13.01945385
1767229440000,63796.72556500,63808.61448984,63796.72556500,63807.50802261,10.87224104
1767229500000,63807.50802261,63811.57920905,63807.13206737,63809.35563821,14.88938036
1767229560000,63809.35563821,63809.35563821,63793.87156333,63801.15057103,13.43566246
1767229620000,63801.15057103,63801.15057103,63793.55283533,63796.67620459,17.65239935
1767229680000,63796.67620459,63796.67620459,63770.09830072,63777.58501205,7.74652739
1767229740000,63777.58501205,63801.74665188,63777.58501205,63792.99778217,5.61063071
1767229800000,63792.99778217,63813.17237300,63792.99778217,63805.15974192,11.92529668
1767229860000,63805.15974192,63817.37024641,63805.15974192,63814.71985854,8.10345227
1767229920000,63814.71985854,63825.84153924,63814.71985854,63820.93782370,14.88748337
1767229980000,63820.93782370,63830.05908462,63820.93782370,63826.18889967,10.13903786
1767230040000,63826.18889967,63826.43413193,63822.69742589,63824.56577891,2.31279108
1767230100000,63824.56577891,63829.21910235,63822.32254815,63825.77082525,7.70754691
1767230160000,63825.77082525,63839.11343811,63814.55178790,63826.83261301,13.70973767
1767230220000,63826.83261301,63839.43205401,63814.06136544,63826.74670972,6.89896902
1767230280000,63826.74670972,63838.79630175,63824.74702594,63831.77166385,10.59164559
1767230340000,63831.77166385,63841.70559479,63817.64122399,63829.67340939,8.96006383
1767230400000,63829.67340939,63829.67340939,63813.41160469,63814.54977491,10.68338557
1767230460000,63814.54977491,63814.54977491,63797.36305326,63805.24688837,11.00215852
1767230520000,63805.24688837,63813.05721820,63805.24688837,63810.96455062,6.56182248
1767230580000,63810.96455062,63813.03535916,63807.08091245,63810.05813580,11.53523926
1767230640000,63810.05813580,63810.05813580,63795.75325498,63802.71520269,11.07293164
1767230700000,63802.71520269,63818.59103712,63802.71520269,63810.91811086,14.48738632
1767230760000,63810.91811086,63816.29877146,63810.91811086,63814.91423310,18.42461022
1767230820000,63814.91423310,63823.21191519,63803.64222735,63813.42707127,28.35628007
1767230880000,63813.42707127,63819.50808671,63813.42707127,63818.10160153,4.84330160
1767230940000,63818.10160153,63818.10160153,63805.77828765,63810.04654427,16.30356598
1767231000000,63810.04654427,63823.01307227,63808.43050264,63815.72178746,9.57115254
1767231060000,63815.72178746,63826.51992969,63815.72178746,63823.25890315,11.32968787
1767231120000,63823.25890315,63824.44226829,63809.68588742,63817.06407785,15.16343171
1767231180000,63817.06407785,63834.21079386,63817.06407785,63829.52458160,9.21026929
1767231240000,63829.52458160,63831.86568148,63818.89325088,63825.37946618,12.38862682
1767231300000,63825.37946618,63825.37946618,63804.20410424,63811.56233336,13.51127411
1767231360000,63811.56233336,63811.56233336,63799.81569433,63802.65983681,10.81783994
1767231420000,63802.65983681,63816.48735061,63797.33072881,63806.90903971,16.97708244
1767231480000,63806.90903971,63806.90903971,63792.39628670,63799.57523118,13.96667663
1767231540000,63799.57523118,63812.46222500,63787.32039935,63799.89131218,6.48891767
1767231600000,63799.89131218,63816.88330468,63799.89131218,63813.97324858,12.39677447
1767231660000,63813.97324858,63822.74413584,63799.56762941,63811.15588263,9.04877232
1767231720000,63811.15588263,63813.46957337,63799.56067182,63806.51512260,8.32353070
1767231780000,63806.51512260,63806.51512260,63782.78878274,63791.94764262,11.97378983
1767231840000,63791.94764262,63791.94764262,63768.82400340,63779.68408268,13.08491545
1767231900000,63779.68408268,63799.79988054,63775.62437774,63787.71212914,8.28837329
1767231960000,63787.71212914,63787.71212914,63751.73641916,63762.23509735,12.96590533
1767232020000,63762.23509735,63775.57030705,63757.65404406,63766.61217555,9.86814639
1767232080000,63766.61217555,63767.46637836,63749.89773273,63758.68205555,6.19177125
1767232140000,63758.68205555,63758.68205555,63745.46957941,63746.82871819,8.89672031
1767232200000,63746.82871819,63746.82871819,63722.64840437,63724.85960374,15.15241350
1767232260000,63724.85960374,63724.85960374,63709.61800073,63710.83285510,10.82733408
1767232320000,63710.83285510,63731.10396360,63710.83285510,63727.07884483,8.59819537
1767232380000,63727.07884483,63742.02774489,63727.07884483,63739.78588949,20.09812962
1767232440000,63739.78588949,63739.78588949,63697.27084378,63711.70281272,11.43367683
1767232500000,63711.70281272,63711.70281272,63688.95946135,63696.30460969,9.50027952
1767232560000,63696.30460969,63719.44722945,63696.30460969,63709.81871136,12.79349985
1767232620000,63709.81871136,63709.81871136,63701.33084220,63704.67797726,9.75021325
1767232680000,63704.67797726,63704.67797726,63646.55279921,63655.72366110,16.36704739
1767232740000,63655.72366110,63655.72366110,63636.64447640,63643.66742407,9.14323481
1767232800000,63643.66742407,63657.74326022,63640.83493422,63649.28909722,13.31055703
1767232860000,63649.28909722,63650.07152056,63637.29766487,63643.68459272,7.20919360
1767232920000,63643.68459272,63643.68459272,63637.70245015,63638.77637478,4.96264470
1767232980000,63638.77637478,63645.11874146,63611.24205622,63628.18039884,6.39249085
1767233040000,63628.18039884,63634.97926853,63627.27762097,63631.12844475,6.46020620
1767233100000,63631.12844475,63669.37367095,63629.73161300,63649.55264198,12.64676451
1767233160000,63649.55264198,63656.56587398,63638.80530139,63647.68558769,10.14305740
1767233220000,63647.68558769,63663.52589526,63647.68558769,63660.69616900,6.87815096
1767233280000,63660.69616900,63669.93285087,63657.50798416,63663.72041751,16.45688093
1767233340000,63663.72041751,63677.81428559,63650.62341420,63664.21884989,7.17502503
1767233400000,63664.21884989,63680.48094521,63653.64643650,63667.06369086,7.35304406
1767233460000,63667.06369086,63667.06369086,63637.74894799,63648.99562457,10.48454954
1767233520000,63648.99562457,63667.06094297,63648.99562457,63661.76802254,11.10064139
1767233580000,63661.76802254,63661.76802254,63649.41767400,63650.83348841,12.39717614
1767233640000,63650.83348841,63665.30014419,63650.83348841,63662.80198742,9.07550936
1767233700000,63662.80198742,63662.80198742,63641.19672302,63651.77834369,9.09228434
1767233760000,63651.77834369,63664.74983968,63651.77834369,63663.25366617,6.19756991
1767233820000,63663.25366617,63663.25366617,63631.76696966,63642.21598731,19.31809663
1767233880000,63642.21598731,63651.38658042,63642.21598731,63646.96987552,13.25921465
1767233940000,63646.96987552,63659.17292097,63646.96987552,63653.91028428,11.59135449
1767234000000,63653.91028428,63653.91028428,63615.36714626,63626.77898313,13.70057892
1767234060000,63626.77898313,63626.77898313,63596.40255471,63606.88952961,8.90964973
1767234120000,63606.88952961,63619.54893949,63606.88952961,63616.92887693,12.06104574
1767234180000,63616.92887693,63637.55254916,63616.92887693,63636.12141334,16.63616666
1767234240000,63636.12141334,63636.12141334,63618.34669299,63619.49819467,9.63696696
1767234300000,63619.49819467,63633.07338239,63619.49819467,63629.87162241,13.52131569
1767234360000,63629.87162241,63634.20432115,63629.48929777,63631.84680946,10.94857228
1767234420000,63631.84680946,63640.84480788,63631.84680946,63638.34698876,7.27776879
1767234480000,63638.34698876,63663.86945789,63638.34698876,63651.91570740,16.69040708
1767234540000,63651.91570740,63651.91570740,63645.33081862,63647.95620507,19.81943078
1767234600000,63647.95620507,63647.95620507,63630.57829967,63639.05502783,6.49756571
1767234660000,63639.05502783,63654.25245384,63638.80232465,63646.52738924,15.41517430
1767234720000,63646.52738924,63646.52738924,63638.66026890,63639.94188543,5.91525935
1767234780000,63639.94188543,63696.37622203,63639.94188543,63676.35500497,10.68110640
1767234840000,63676.35500497,63684.46282442,63665.01869650,63674.74076046,13.37138164
1767234900000,63674.74076046,63674.74076046,63653.86702561,63660.85562693,13.42393500
1767234960000,63660.85562693,63664.31044455,63656.28796179,63660.29920317,8.83693354
1767235020000,63660.29920317,63660.29920317,63643.24196862,63649.22503934,21.19718758
1767235080000,63649.22503934,63671.71902326,63649.22503934,63665.98369961,10.93519105
1767235140000,63665.98369961,63665.98369961,63650.70910658,63652.85988516,5.33584570
1767235200000,63652.85988516,63663.33125933,63637.36115903,63650.34620918,2.13684494
1767235260000,63650.34620918,63673.76579084,63650.34620918,63665.82081387,13.67472368
1767235320000,63665.82081387,63689.57784255,63665.82081387,63684.93015509,13.99376870
1767235380000,63684.93015509,63684.93015509,63673.79267087,63677.44613345,10.81074601
1767235440000,63677.44613345,63677.44613345,63643.27829018,63649.13148892,16.22720918
1767235500000,63649.13148892,63651.55697263,63625.29195715,63638.42446489,9.48181023
1767235560000,63638.42446489,63646.07293894,63638.42446489,63643.78384455,13.45055935
1767235620000,63643.78384455,63647.41886685,63643.34906802,63645.38396743,8.94679035
1767235680000,63645.38396743,63646.83542984,63639.66386255,63643.24964619,5.98676031
1767235740000,63643.24964619,63643.24964619,63630.40653307,63632.10992509,15.52413428
1767235800000,63632.10992509,63632.10992509,63609.77795424,63613.00553200,14.39892843
1767235860000,63613.00553200,63620.81565466,63602.98345895,63611.89955681,12.14224405
1767235920000,63611.89955681,63611.89955681,63575.73767888,63588.09704597,16.74077607
1767235980000,63588.09704597,63604.96592379,63577.65459533,63591.31025956,12.42743917
1767236040000,63591.31025956,63598.57988696,63587.38142491,63592.98065593,16.80624982
1767236100000,63592.98065593,63602.28326175,63589.31126241,63595.79726208,13.43051283
